ref,word,num,dep,label,dep2,label2
21b.001,heihceitoonoonin,1,0,root,,
21b.001,heisiiheih'in.,2,2,objim,,
21b.002,yeah.,1,skip,,,
21b.003,nootineehisei.,1,,objim,,
21b.005,yeah.,1,skip,,,
21b.006,noh,1,,coor,,
21b.006,hiniisoonoh'o.,2,1,conj,,
21b.007,Hoohookeeni3i',1,0,root,,
21b.007,hini',2,3,det,,
21b.007,hiseihih'o'.,3,1,sbjct,,
21b.008,Noh,1,2,disc,,
21b.008,tohbixoo3ein,2,0,root,,
21b.008,hinee,3,2,agent,4,sbjct
21b.008,hookeciihiht.,4,3,rlcl,,
21b.009,yeah.,1,skip,,,
21b.010,niiteco'oniini,1,2,skip,,
21b.010,yihoot,2,0,root,,
21b.010,neneenin.,3,2,adjct,,
21b.011,Hibesiiwoho,1,2,under,,
21b.011,niibeetnii3oonoot,2,0,root,,
21b.011,co'oniihi'.,3,2,part,,
21b.012,Niibiiwoohut,1,0,root,,
21b.012,heetcihno'oehinou'u.,2,1,sucl,,
21b.013,Wo'ei3,1,4,disc,,
21b.013,cihno'oehinoni,2,4,sucl,,
21b.013,noh,3,4,disc,,
21b.013,biiwoohut.,4,0,root,,
21b.013,Niibeetcihnii3oonein.,5,4,rootp,,
21b.014,She's,1,skip,,,
21b.014,got,2,skip,,,
21b.014,uhh,3,skip,,,
21b.014,no,4,skip,,,
21b.014,Indian,5,skip,,,
21b.014,name,6,skip,,,
21b.014,or,7,skip,,,
21b.014,"names,",8,skip,,,
21b.014,"Orelia,",9,skip,,,
21b.015,"oh,",1,skip,,,
21b.015,okay.,2,skip,,,
21b.016,"yeah,",1,skip,,,
21b.017; 21b.018,nihwonP,1,2,repr,,
21b.017; 21b.019,nihwonceitoonee3i',2,0,root,,
21b.017; 21b.020,nuhu',3,4,det,,
21b.017; 21b.021,neisiihoho'.,4,2,under,,
21b.017; 21b.022,"Nootineehisei,",5,5,poss,,
21b.017; 21b.023,hiniisoono.,6,4,appos,,
21b.019,Neniisini3i.,1,0,root,,
21b.020,Woow,1,3,part,,
21b.020,ceese',2,3,sbjct,,
21b.020,niineyei3eit.,3,0,root,,
21b.021,Ne'niititenowoo,1,4,pred,,
21b.021,nuhu',2,4,det,,
21b.021,nec.,3,1,objct,,
21b.021,<empty>,4,0,roote,,
21b.022,Nookohei'inoo.,1,skip,,,
21b.023,Neniiseihini3,1,0,root,,
21b.023,hibeh'eiheheb.,2,1,sbjct,,
21b.024,Niiwonceitoonee3i',1,0,root,,
21b.024,heenee'iihi'.,2,1,part,,
21b.025,Every,1,2,skip,,
21b.025,"day,",2,3,part,,
21b.025,nee3ebno'koohunoo.,3,0,root,,
21b.026; 21b.027,Nooxeihi',1,4,part,,
21b.026; 21b.028,niico'onP,2,4,repr,,
21b.026; 21b.029,uhm,3,4,uh,,
21b.026; 21b.030,niitoyoohowu3i',4,0,root,,
21b.026; 21b.031,nuhu'...,5,6,det,,
