ref,word,num,dep,label,dep2,label2
21a.001,Let's,1,,SKIP,,
21a.001,see.,2,,SKIP,,
21a.002,Ready?,1,,SKIP,,
21a.003,tootheih'ikoohu,1,0,ROOT,,
21a.003,tih'iisiini'?,2,1,SUCL,,
21a.004,wonotiitiinoo,1,0,ROOT,,
21a.004,wo3onohoe.,2,1,ADJCT,,
21a.005,Hoowuniihikoohunoo.,1,0,ROOT,,
21a.006,nohci',1,2,PART,,
21a.006,heeyou?,2,0,ROOT,,
21a.007,Heeyou,1,2,objCT,,
21a.007,heihcih'otoonoo3oo,2,0,ROOT,,
21a.007,wo'ei3,3,2,CONJ,,
21a.007,heihtootoustoo?,4,3,COOR,,
21a.008; 21a.009,hini',1,2,DET,,
21a.008; 21a.009,bii3wo.,2,3,OBJCT,,
21a.008; 21a.009,Nihcih'itenowoo.,3,0,ROOT,,
21a.010,Noh,1,2,DISC,,
21a.010,ce'eeckoohunoo.,2,0,ROOT,,
21a.011,nohci',1,2,PART,,
21a.011,heeyou?,2,0,ROOT,,
21a.012,'oh,1,3,DISC,,
21a.012,huut,2,3,PART,,
21a.012,"tihno'eeckoohunoo,",3,0,ROOT,,
21a.012,beebeet,4,5,PART,,
21a.012,ne'niistoonoo.,5,3,ROOTP,,
21a.013,'oh,1,3,DISC,,
21a.013,beebeet,2,3,PART,,
21a.013,nenee'.,3,0,ROOT,,
21a.014,beebeet,1,2,PART,,
21a.014,nenee'.,2,0,ROOT,,
21a.015,'oh,1,8,DISC,,
21a.015,ci',2,8,PART,,
21a.015,"heihnehyonihooono',",3,8,?,,
21a.015,nec,4,3,OBJCT,,
21a.015,noh,5,4,CONJ,,
21a.015,hu'un,6,7,DET,,
21a.015,woxhooxebii.,7,5,COOR,,
21a.015,,8,0,ROOTE,,
21a.016,"yeah,",1,5,DISC,,
21a.016,huni',2,3,DET,,
21a.016,"woxhooxebii,",3,5,UNDER,,
21a.016,nihnehP,4,5,REPR,,
21a.016,nehyonihou'u.,5,0,ROOT,,
21a.017,'oh,1,4,DISC,,
21a.017,hu'un,2,3,DET,,
21a.017,nec?,3,4,UNDER,,
21a.017,,4,0,ROOTE,,
21a.018,yeah...,1,,SKIP,,
21a.019,"hee,",1,2,DISC,,
21a.019,sit.,2,0,SKIP,,
21a.021,hee.,1,,SKIP,,
21a.022,Cihnookohowoo,1,0,ROOT,,
21a.022,hini',2,3,DET,,
21a.022,nec.,3,1,OBJCT,,
21a.023,"ce'eeckoohunoo,",1,0,ROOT,,
21a.023,nihce'eeckoohunoo.,2,1,ROOTP,,
21a.024,wooce',1,5,DISC,,
21a.024,hei'teesinoono',2,5,SUCL,,
21a.024,nuhu',3,4,DET,,
21a.024,"woxhooxebii,",4,5,UNDER,,
21a.024,nihyihxohoti,5,0,ROOT,,
21a.024,niit3eiisi'i.,6,5,SUCL,,
21a.025,yeah.,1,,SKIP,,
21a.026,hiit,1,2,PART,,
21a.026,3eiinooxebein.,2,0,ROOT,,
21a.027,"yeah,",1,2,DISC,,
21a.027,nihteesinou'u,2,0,ROOT,,
21a.027,huni',3,4,DET,,
21a.027,woxhooxebii.,4,2,UNDER,,
21a.028,3ebno'xohoe3i',1,0,ROOT,,
21a.028,"hi'in,",2,3,REPR,,
21a.028,hi'in,3,1,ADJCT,6,ADJCT
21a.028,nee'eetP,4,6,REPR,,
21a.028,niitP,5,6,REPR,,
